,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
33,False,/xRfFcSeGbgt4DqcohWWjuE1LdDU.jpg,,0.0,"[{'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스터리'}]",,900033.0,tt6656572,zh,Death Ouija 2,,0.6,/7PyrpuoOafjV05GDKp5eXDPQ62i.jpg,"[{'id': 99069, 'logo_path': None, 'name': 'Western Movie Group', 'origin_country': 'CN'}]",[],2017-03-10,0.0,0.0,[],Released,,Death Ouija 2,False,0.0,0.0,,,
34,False,/zBhhRXK9hptgY9X0U6WVwThcNlT.jpg,,0.0,"[{'id': 10752, 'name': '전쟁'}]",,900034.0,,zh,Spy in Jinping Mountain,,0.6,/oBwxh9oYL055x0FsPUJyPce4AGT.jpg,"[{'id': 164791, 'logo_path': None, 'name': 'Doctoral Culture', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2016-01-01,0.0,0.0,[],Released,,Spy in Jinping Mountain,False,0.0,0.0,,,
35,False,,,0.0,[],,900035.0,tt0203189,en,W*A*L*T*E*R,,0.6,,[],[],1984-07-17,0.0,25.0,[],Released,,W*A*L*T*E*R,False,0.0,0.0,,,
36,False,/fgHdvMoCoKG7GMCguRErzajr0a4.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900036.0,,zh,Never out of Sight,,0.6,/oGHCu6r2JHSZftoVL1u54pqOHKq.jpg,"[{'id': 164792, 'logo_path': None, 'name': 'Beijing Lushi Haomi Film', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2012-01-01,0.0,0.0,[],Released,,Never out of Sight,False,0.0,0.0,,,
37,False,/7qAg1ls5xMYjnWimmY7gDYakN4P.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900037.0,,zh,The Winter Solstice,,0.6,/darlQL3KgdVM5lhdmIagqbmkCgJ.jpg,"[{'id': 68132, 'logo_path': None, 'name': 'Focus Media', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2018-12-22,0.0,0.0,[],Released,,The Winter Solstice,False,0.0,0.0,,,
38,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,900038.0,,zh,曬棉被的好天氣,,0.6,/jnnGPBoQw0haKq0i7OEoKNvgcB5.jpg,[],"[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]",2008-08-24,0.0,28.0,[],Released,,曬棉被的好天氣,False,0.0,0.0,,,
39,False,/7LvN8ROa3XFkQ2u7v6jk83fdfrh.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,900039.0,,zh,For Your Own Good,,0.6,/n6xkN5FkU4J4b6bYKFaSS4sZ6cp.jpg,"[{'id': 85736, 'logo_path': None, 'name': 'China Movie Channel (CMC)', 'origin_country': ''}]",[],2017-01-09,0.0,0.0,[],Released,,For Your Own Good,False,0.0,0.0,,,
40,False,/mv2PCQnEfIJr65n4sqgSaydCr7c.jpg,,0.0,"[{'id': 10751, 'name': '가족'}]",,900040.0,tt0354639,ru,花儿朵朵,,0.6,/6NkodqNp14xuq21eebLy856UaJ1.jpg,"[{'id': 708, 'logo_path': None, 'name': 'Beijing Film Studio', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",1962-06-01,0.0,0.0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,,花儿朵朵,False,0.0,0.0,,,
41,False,/kUWi2iZjiRAx2HQG7b1aMV6xWgy.jpg,,0.0,"[{'id': 80, 'name': '범죄'}]",,900041.0,,zh,THE DECEPTION,,0.6,/gxZv74cApAxgsrcEwYInl6N78UM.jpg,"[{'id': 164794, 'logo_path': None, 'name': 'Hubei Zhiyin Film & Television', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2019-01-18,0.0,0.0,[],Released,,THE DECEPTION,False,0.0,0.0,,,
42,False,,,0.0,[],,900042.0,,ta,Singa Paarvai,,0.6,/xHwLwnlROc8DaKgFnX36SeGLbwd.jpg,[],[],,0.0,115.0,[],Released,,Singa Paarvai,False,0.0,0.0,,,
