,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
9238,,,,False,,,0.0,"[{'id': 35, 'name': '코미디'}, {'id': 16, 'name': '애니메이션'}]",,399238.0,tt2309897,en,Bear Me,,1.124,,[],[],2012-09-30,0.0,0.0,[],Released,,Bear Me,False,6.0,1.0
9239,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
9240,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,399240.0,tt0167798,en,Body Double: Volume 1,,0.6,,"[{'id': 43809, 'logo_path': None, 'name': 'Nutech Digital', 'origin_country': ''}]",[],1998-07-07,0.0,72.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Body Double: Volume 1,True,0.0,0.0
9241,,,,False,,,0.0,[],,399241.0,tt5531982,it,Sui bordi: Dove finisce il mare,,0.6,,[],[],2013-11-28,0.0,0.0,[],Released,,Sui bordi: Dove finisce il mare,False,10.0,1.0
9242,,,,False,,,0.0,[],,399242.0,tt1440730,en,Angels and Demons: Decoded,,0.6,,[],[],2009-01-01,0.0,94.0,[],Released,,Angels and Demons: Decoded,False,0.0,0.0
9243,,,,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,399243.0,tt4727010,en,The Color of Fire,,0.6,/hUGtBWA41FGo6OYM3VX8WjIpT3a.jpg,[],[],2015-04-07,0.0,70.0,[],Released,,The Color of Fire,False,2.7,3.0
9244,,,,False,,,0.0,"[{'id': 10751, 'name': '가족'}, {'id': 18, 'name': '드라마'}]",,399244.0,tt1825813,tl,Ikaw ang Pag-ibig,,0.6,,"[{'id': 84766, 'logo_path': None, 'name': 'Archdiocese of Caceres', 'origin_country': ''}, {'id': 77380, 'logo_path': None, 'name': 'Marilou Diaz-Abaya Film Institute', 'origin_country': ''}, {'id': 4676, 'logo_path': '/fu7gOKwS2l2fiFlEQFamITFEWDk.png', 'name': 'Star Cinema – ABS-CBN Film Productions', 'origin_country': 'PH'}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",2011-11-14,0.0,120.0,"[{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Released,,Ikaw ang Pag-ibig,False,0.0,0.0
9245,,,,False,,,0.0,[],,399245.0,,vi,Nhân Quả Cuộc Đời,,0.6,,[],[],2015-09-11,0.0,0.0,"[{'english_name': 'Vietnamese', 'iso_639_1': 'vi', 'name': 'Tiếng Việt'}]",Released,,Nhân Quả Cuộc Đời,False,0.0,0.0
9246,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,399246.0,tt5581250,de,Familie!,,0.6,,"[{'id': 4606, 'logo_path': '/otZHbf1HmzLRQsZFSqJXkf8EHz7.png', 'name': 'ZDF', 'origin_country': 'DE'}, {'id': 74, 'logo_path': '/v8CBkNxdmHbQc9JpnaEfHGBMXco.png', 'name': 'MOOVIE GmbH', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2016-10-10,0.0,90.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Familie!,False,7.0,1.0
9247,,,,False,,,0.0,"[{'id': 35, 'name': '코미디'}]",,399247.0,tt1298583,de,Der Mann auf der Brücke,,1.093,,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2009-08-06,0.0,,[],Released,,Der Mann auf der Brücke,False,0.0,0.0
